 WSCHODY I ZACHODY SLONCA
     szerokosc :   44 N
     dlugosc   :  -73 W
     strefa    :   -4

   data     wschod  zachod
2018-06-01   05:12   20:27
2018-06-02   05:11   20:27
2018-06-03   05:11   20:28
2018-06-04   05:10   20:29
2018-06-05   05:10   20:30
2018-06-06   05:10   20:31
2018-06-07   05:09   20:31
2018-06-08   05:09   20:32
2018-06-09   05:09   20:33
2018-06-10   05:09   20:33
2018-06-11   05:08   20:34
2018-06-12   05:08   20:34
2018-06-13   05:08   20:35
2018-06-14   05:08   20:35
2018-06-15   05:08   20:36
2018-06-16   05:08   20:36
2018-06-17   05:08   20:37
2018-06-18   05:08   20:37
2018-06-19   05:08   20:37
2018-06-20   05:08   20:38
2018-06-21   05:09   20:38
2018-06-22   05:09   20:38
2018-06-23   05:09   20:38
2018-06-24   05:09   20:38
2018-06-25   05:10   20:38
2018-06-26   05:10   20:38
2018-06-27   05:10   20:39
2018-06-28   05:11   20:38
2018-06-29   05:11   20:38
2018-06-30   05:12   20:38
2018-07-01   05:12   20:38
2018-07-02   05:13   20:38
2018-07-03   05:13   20:38
2018-07-04   05:14   20:38
2018-07-05   05:15   20:37
2018-07-06   05:15   20:37
2018-07-07   05:16   20:37
2018-07-08   05:17   20:36
2018-07-09   05:17   20:36
2018-07-10   05:18   20:35
2018-07-11   05:19   20:35
2018-07-12   05:20   20:34
2018-07-13   05:21   20:34
2018-07-14   05:21   20:33
2018-07-15   05:22   20:33
2018-07-16   05:23   20:32
2018-07-17   05:24   20:31
2018-07-18   05:25   20:30
2018-07-19   05:26   20:30
2018-07-20   05:27   20:29
2018-07-21   05:28   20:28
2018-07-22   05:29   20:27
2018-07-23   05:30   20:26
2018-07-24   05:31   20:25
2018-07-25   05:32   20:24
2018-07-26   05:33   20:23
2018-07-27   05:34   20:22
2018-07-28   05:35   20:21
2018-07-29   05:36   20:20
2018-07-30   05:37   20:19
2018-07-31   05:38   20:18
2018-08-01   05:39   20:17
